temperature,top_p,avg_BLEU,avg_BERTScore
0.1,0.5,0.014581303032711952,0.8270994663238526
0.1,0.7,0.018063610642967777,0.8229190349578858
0.1,0.9,0.016868477316834073,0.8256931185722352
0.3,0.5,0.018021086852109576,0.8251330614089966
0.3,0.7,0.0164260678525326,0.8283915281295776
0.3,0.9,0.015900750698136512,0.8249028146266937
0.5,0.5,0.01675095523672753,0.8264720022678376
0.5,0.7,0.01679080707338282,0.8230576455593109
0.5,0.9,0.018449500562237563,0.826584005355835
0.7,0.5,0.016393095254145514,0.8267236351966858
0.7,0.7,0.01576168887066082,0.8258284568786621
0.7,0.9,0.02017109074747756,0.8271511256694793
